PROPERTY  MARKET  YIELDS  -  PRIVATE  DOMESTIC [MONTHLY[DOMESTIC]],,,,,,,,,,
Month,Domestic Class A,Domestic Class A - Remarks,Domestic Class B,Domestic Class B - Remarks,Domestic Class C,Domestic Class C - Remarks,Domestic Class D,Domestic Class D - Remarks,Domestic Class E,Domestic Class E - Remarks
08-2016,3,,2.7,,2.6,,2.4,,2.2,
09-2016,2.9,,2.6,,2.5,,2.3,,2.1,
10-2016,2.9,,2.6,,2.5,,2.3,,2.1,
11-2016,2.8,,2.6,,2.4,,2.3,,2.1,
12-2016,2.9,,2.6,,2.5,,2.3,,2,
01-2017,2.9,,2.6,,2.5,,2.3,,2,
02-2017,2.9,,2.6,,2.5,,2.3,,2,
03-2017,2.8,,2.6,,2.4,,2.3,,2,
04-2017,2.8,,2.5,,2.4,,2.3,,2.1,
05-2017,2.8,,2.5,,2.4,,2.3,,2.1,
06-2017,2.8,,2.5,,2.4,,2.3,,2,
07-2017,2.8,,2.5,,2.4,,2.3,,2,
08-2017,2.8,,2.5,,2.4,,2.3,,2,
09-2017,2.8,,2.5,,2.4,,2.3,,2,
10-2017,2.8,,2.5,,2.4,,2.2,,2,
11-2017,2.8,,2.5,,2.3,,2.2,,2,
12-2017,2.7,,2.5,,2.3,,2.2,,2,
01-2018,2.7,,2.4,,2.3,,2.1,,1.9,
02-2018,2.6,,2.4,,2.3,,2.1,,1.9,
03-2018,2.6,,2.4,,2.3,,2.1,,1.9,
04-2018,2.6,,2.4,,2.3,,2.1,,2,
05-2018,2.6,,2.3,,2.2,,2.1,,2,
06-2018,2.6,,2.3,,2.2,,2.1,,2,
07-2018,2.6,,2.3,,2.2,,2.1,,2,
08-2018,2.6,,2.3,,2.2,,2.1,,2,
09-2018,2.6,,2.4,,2.3,,2.2,,2,
10-2018,2.7,,2.4,,2.3,,2.2,,2.1,
11-2018,2.8,,2.5,,2.4,,2.3,,2.1,
12-2018,2.8,,2.5,,2.4,,2.2,,2.1,
01-2019,2.8,,2.5,,2.4,,2.2,,2.1,
02-2019,2.7,,2.5,,2.3,,2.2,,2.1,
03-2019,2.6,,2.4,,2.3,,2.1,,2.1,
04-2019,2.5,,2.3,,2.2,,2.1,,2.1,
05-2019,2.5,,2.3,,2.2,,2.1,,2,
06-2019,2.6,,2.3,,2.2,,2.1,,2,
07-2019,2.6,,2.3,,2.2,,2.1,,2.1,
08-2019,2.7,,2.4,,2.3,,2.1,,2.2,
09-2019,2.7,,2.4,,2.3,,2.1,,2.2,
10-2019,2.6,,2.4,,2.3,,2.1,,2.2,
11-2019,2.5,,2.3,,2.2,,2.1,,2.1,
12-2019,2.6,,2.3,,2.3,,2.1,,2.1,
01-2020,2.5,,2.3,,2.2,,2,,2.1,
02-2020,2.5,,2.3,,2.3,,2.1,,2,
03-2020,2.5,,2.2,,2.2,,2.1,,2,
04-2020,2.4,,2.2,,2.2,,2.1,,2,
05-2020,2.4,,2.2,,2.1,,2,,1.9,
06-2020,2.4,,2.2,,2.1,,2,,1.9,
07-2020,2.4,,2.2,,2.1,,2,,1.9,
